step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
56,2.2400,0.3262,0.0000,0.4997,0.2667,-0.0204,0.0226,0.0854,-0.1149,0.4319,0.0559,0.1992,0.2231,0.01220,-0.01568,-0.0459,-0.1305,-0.1212,0.0575,-0.00838,-0.00067,0.3332,0.6497
57,2.2800,0.3319,0.0000,0.4997,0.2619,-0.0169,0.0542,0.0720,0.1801,0.4587,0.0665,0.2002,0.2230,0.01389,-0.01093,-0.0233,-0.1700,-0.1246,-0.0387,-0.00415,0.00072,0.3390,0.6605
58,2.3200,0.3377,0.0000,0.4997,0.2740,0.0104,0.0415,-0.0649,0.0851,0.4329,0.0771,0.2025,0.2234,0.01878,-0.01127,-0.0244,-0.1536,-0.0924,-0.0189,-0.00568,-0.00489,0.3449,0.6713
59,2.3600,0.3435,0.0000,0.4998,0.2935,0.0046,0.0289,-0.0363,-0.1342,0.3714,0.0880,0.2055,0.2229,0.01730,-0.01338,-0.0098,-0.1289,-0.0996,0.0271,-0.00948,-0.00468,0.3507,0.6820
60,2.4000,0.3492,0.0000,0.4998,0.2944,0.0006,0.0584,-0.0155,0.0572,0.3651,0.0994,0.2084,0.2231,0.01657,-0.01367,0.0018,-0.1519,-0.1188,-0.0047,-0.00662,-0.00165,0.3566,0.6927
61,2.4400,0.3548,0.0000,0.4998,0.3029,0.0003,0.0611,-0.0154,0.0690,0.4122,0.1110,0.2116,0.2239,0.01920,-0.01420,-0.0055,-0.1615,-0.1096,0.0056,-0.00700,-0.00166,0.3624,0.7033
62,2.4800,0.3602,0.0000,0.4998,0.3149,0.0066,0.0241,-0.0445,-0.0021,0.3350,0.1229,0.2151,0.2237,0.02007,-0.01508,-0.0018,-0.1364,-0.0825,-0.0296,-0.00964,-0.00275,0.3682,0.7139
63,2.5200,0.3655,0.0000,0.4999,0.3239,-0.0071,0.0361,0.0193,-0.0041,0.4220,0.1351,0.2188,0.2231,0.02052,-0.01528,-0.0188,-0.1390,-0.1205,0.0322,-0.01079,-0.00126,0.3740,0.7244
64,2.5600,0.3706,0.0000,0.4999,0.3420,-0.0176,0.0415,0.0713,-0.1666,0.4549,0.1479,0.2223,0.2230,0.01640,-0.01282,-0.0301,-0.1405,-0.1100,-0.0008,-0.01186,-0.00128,0.3798,0.7349
65,2.6000,0.3756,0.0000,0.4999,0.3464,-0.0030,0.0470,0.0033,-0.0899,0.3997,0.1611,0.2263,0.2231,0.01118,-0.01070,-0.0104,-0.1450,-0.1016,-0.0107,-0.00630,0.00017,0.3856,0.7453
