step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
89,3.5600,0.2379,0.0000,-0.5000,0.1533,-0.0029,0.0169,0.0244,-0.0730,-0.4434,0.3388,0.3074,0.2242,0.01148,3.13290,-0.0246,-0.0985,-0.1048,0.0668,0.00000,0.00000,0.5228,0.9800
90,3.6000,0.2461,0.0000,-0.5000,0.1467,0.0233,0.0453,-0.1065,0.2515,-0.6211,0.3347,0.3122,0.2238,0.01542,3.13545,0.0152,-0.1186,-0.0780,0.0101,0.00000,0.00000,0.5284,0.9891
91,3.6400,0.2543,0.0000,-0.5000,0.1665,-0.0044,0.0358,0.0342,0.0897,-0.4413,0.3304,0.3172,0.2240,0.02299,3.13990,-0.0273,-0.0947,-0.1142,0.0511,0.00000,0.00000,0.5340,0.9981
92,3.6800,0.2627,0.0000,-0.5000,0.1916,-0.0011,0.0439,0.0179,-0.1443,-0.4899,0.3264,0.3234,0.2238,0.01954,3.13761,0.0189,-0.1210,-0.0978,0.0271,0.00000,0.00000,0.5396,1.0070
93,3.7200,0.2708,0.0000,-0.5000,0.2049,0.0058,0.0700,-0.0177,-0.1856,-0.5874,0.3219,0.3299,0.2245,0.01296,3.13887,0.0321,-0.1090,-0.1064,0.0635,0.00000,0.00000,0.5452,1.0159
94,3.7600,0.2789,0.0000,-0.5000,0.2048,0.0076,0.0401,-0.0299,-0.0064,-0.5280,0.3173,0.3368,0.2253,0.00970,3.14057,0.0038,-0.1200,-0.1127,-0.0247,0.00000,0.00000,0.5508,1.0247
95,3.8000,0.2870,0.0000,-0.5000,0.2111,0.0021,0.0210,-0.0010,0.0264,-0.5240,0.3127,0.3439,0.2247,0.00989,-3.14067,-0.0045,-0.1078,-0.0955,0.0706,0.00000,0.00000,0.5564,1.0334
96,3.8400,0.2951,0.0000,-0.5000,0.2125,-0.0079,0.0333,0.0495,0.1951,-0.3844,0.3085,0.3516,0.2243,0.01532,3.14030,-0.0267,-0.1200,-0.1296,0.0121,0.00000,0.00000,0.5619,1.0420
97,3.8800,0.3028,0.0000,-0.5000,0.2243,-0.0007,0.0390,0.0169,0.1826,-0.5192,0.3043,0.3597,0.2240,0.02224,3.13836,-0.0023,-0.1043,-0.0921,0.0423,0.00000,0.00000,0.5675,1.0506
98,3.9200,0.3103,0.0000,-0.5000,0.2487,-0.0243,0.0463,0.1338,-0.0289,-0.4293,0.3002,0.3686,0.2241,0.02523,3.13295,-0.0294,-0.0942,-0.1330,0.0669,0.00000,0.00000,0.5731,1.0592
99,3.9600,0.3176,0.0000,-0.5000,0.2664,0.0084,0.0715,-0.0348,-0.1266,-0.5183,0.2959,0.3781,0.2247,0.02013,3.12804,0.0392,-0.1361,-0.1073,0.0135,0.00000,0.00000,0.5786,1.0676
100,4.0000,0.3246,0.0000,-0.5000,0.2731,0.0127,0.0443,-0.0570,-0.0638,-0.5459,0.2907,0.3876,0.2254,0.01693,3.13415,-0.0098,-0.1155,-0.1050,0.0348,0.00000,0.00000,0.5841,1.0760
101,4.0400,0.3315,0.0000,-0.5000,0.2842,0.0172,0.0386,-0.0805,-0.0852,-0.5819,0.2854,0.3976,0.2252,0.01328,3.14120,0.0371,-0.1199,-0.0881,0.0549,0.00000,0.00000,0.5896,1.0844
102,4.0800,0.3384,0.0000,-0.5000,0.3004,-0.0096,0.0410,0.0550,-0.1942,-0.4657,0.2806,0.4083,0.2253,0.00812,-3.13994,-0.0059,-0.1115,-0.1312,0.0609,0.00000,0.00000,0.5952,1.0926
103,4.1200,0.3451,0.0000,-0.5000,0.3187,-0.0105,0.0259,0.0569,-0.3759,-0.4880,0.2766,0.4198,0.2250,-0.00487,3.13573,0.0016,-0.1072,-0.0974,0.0205,0.00000,0.00000,0.6007,1.1008
104,4.1600,0.3515,0.0000,-0.5000,0.3127,0.0026,0.0488,-0.0114,-0.1734,-0.4687,0.2724,0.4314,0.2252,-0.01477,3.13178,0.0115,-0.1221,-0.1421,0.0424,0.00000,0.00000,0.6062,1.1089
105,4.2000,0.3576,0.0000,-0.5000,0.3026,0.0227,0.0426,-0.1162,0.0857,-0.5135,0.2675,0.4429,0.2258,-0.01601,3.13832,0.0171,-0.1338,-0.1001,0.0156,0.00000,0.00000,0.6116,1.1170
106,4.2400,0.3634,0.0000,-0.5000,0.2950,0.0020,-0.0025,-0.0090,0.2849,-0.4048,0.2630,0.4543,0.2252,-0.00709,-3.13777,-0.0447,-0.1077,-0.1083,0.0208,0.00000,0.00000,0.6171,1.1249
107,4.2800,0.3691,0.0000,-0.5000,0.3200,0.0081,0.0287,-0.0346,-0.0724,-0.5694,0.2590,0.4662,0.2240,-0.00487,-3.13469,0.0337,-0.1107,-0.0972,0.0719,0.00000,0.00000,0.6226,1.1328
