step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
79,3.1600,0.4125,0.0000,-0.0597,0.5548,-0.0003,0.0124,-0.0001,-0.0297,-0.0498,0.2182,0.8420,0.2243,-0.04526,-0.02176,0.0391,-0.1045,-0.1149,0.0156,0.00000,0.00000,0.4662,0.8861
80,3.2000,0.4073,0.0000,-0.0606,0.5525,0.0012,0.0126,-0.0076,-0.0417,-0.0418,0.2298,0.8608,0.2243,-0.04677,-0.02166,0.0419,-0.1057,-0.1128,0.0163,0.00000,0.00000,0.4719,0.8958
81,3.2400,0.4019,0.0000,-0.0617,0.5483,0.0010,0.0129,-0.0065,-0.0247,-0.0452,0.2413,0.8795,0.2244,-0.04790,-0.02181,0.0423,-0.1044,-0.1179,0.0176,0.00000,0.00000,0.4775,0.9054
82,3.2800,0.3963,0.0000,-0.0628,0.5449,0.0002,0.0097,-0.0027,-0.0290,-0.0477,0.2527,0.8980,0.2244,-0.04895,-0.02176,0.0395,-0.1030,-0.1148,0.0146,0.00000,0.00000,0.4832,0.9149
83,3.3200,0.3906,0.0000,-0.0640,0.5402,0.0013,0.0099,-0.0082,-0.0179,-0.0423,0.2641,0.9164,0.2244,-0.04983,-0.02171,0.0419,-0.1045,-0.1160,0.0140,0.00000,0.00000,0.4889,0.9244
84,3.3600,0.3849,0.0000,-0.0653,0.5365,0.0017,0.0090,-0.0104,-0.0278,-0.0527,0.2754,0.9346,0.2243,-0.05073,-0.02209,0.0410,-0.1027,-0.1136,0.0171,0.00000,0.00000,0.4946,0.9338
85,3.4000,0.3790,0.0000,-0.0666,0.5316,0.0008,0.0096,-0.0055,-0.0152,-0.0481,0.2867,0.9527,0.2243,-0.05145,-0.02222,0.0396,-0.1042,-0.1174,0.0129,0.00000,0.00000,0.5002,0.9432
86,3.4400,0.3731,0.0000,-0.0680,0.5267,0.0011,0.0104,-0.0073,-0.0083,-0.0523,0.2979,0.9706,0.2243,-0.05188,-0.02227,0.0421,-0.1040,-0.1146,0.0154,0.00000,0.00000,0.5059,0.9525
87,3.4800,0.3671,0.0000,-0.0695,0.5224,0.0003,0.0087,-0.0031,-0.0173,-0.0524,0.3090,0.9883,0.2243,-0.05230,-0.02226,0.0422,-0.0995,-0.1139,0.0156,0.00000,0.00000,0.5115,0.9617
88,3.5200,0.3610,0.0000,-0.0710,0.5170,0.0000,0.0088,-0.0015,-0.0052,-0.0420,0.3201,1.0058,0.2242,-0.05269,-0.02194,0.0389,-0.1037,-0.1175,0.0115,0.00000,0.00000,0.5172,0.9709
89,3.5600,0.3550,0.0000,-0.0726,0.5116,0.0025,0.0095,-0.0147,0.0054,-0.0535,0.3310,1.0232,0.2242,-0.05271,-0.02218,0.0407,-0.1041,-0.1106,0.0140,0.00000,0.00000,0.5228,0.9800
90,3.6000,0.3489,0.0000,-0.0742,0.5074,0.0026,0.0095,-0.0148,-0.0099,-0.0513,0.3418,1.0404,0.2242,-0.05270,-0.02298,0.0411,-0.1031,-0.1148,0.0121,0.00000,0.00000,0.5284,0.9891
91,3.6400,0.3428,0.0000,-0.0759,0.5027,0.0000,0.0092,-0.0015,-0.0092,-0.0646,0.3527,1.0574,0.2241,-0.05301,-0.02304,0.0421,-0.0990,-0.1133,0.0152,0.00000,0.00000,0.5340,0.9981
92,3.6800,0.3367,0.0000,-0.0777,0.4972,-0.0003,0.0123,0.0002,0.0059,-0.0668,0.3635,1.0741,0.2241,-0.05302,-0.02252,0.0414,-0.1021,-0.1142,0.0140,0.00000,0.00000,0.5396,1.0070
93,3.7200,0.3306,0.0000,-0.0794,0.4916,0.0000,-0.0012,-0.0021,0.0204,-0.1033,0.3742,1.0907,0.2239,-0.05269,-0.02192,0.0283,-0.0911,-0.0868,0.0100,0.00000,0.00000,0.5452,1.0159
94,3.7600,0.3246,0.0000,-0.0809,0.4866,0.0028,0.0049,-0.0165,0.0295,-0.1089,0.3848,1.1071,0.2234,-0.05168,-0.02202,0.0327,-0.0974,-0.0977,0.0236,0.00000,0.00000,0.5508,1.0247
