step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
73,2.9200,0.5370,0.0000,0.0102,0.3937,0.0001,0.0483,0.0029,-0.0440,-0.0904,-28.4161,-75.1238,0.6859,0.02039,-3.11867,0.0110,-0.1098,-0.0480,-0.0012,-0.00778,-0.00060
74,2.9600,0.5370,0.0000,0.0102,0.3925,-0.0058,0.0499,0.0232,-0.0041,0.0628,-28.4260,-75.1116,0.6863,0.01990,-3.11941,-0.0357,-0.1334,-0.0815,-0.0032,-0.00817,-0.00025
75,3.0000,0.5370,0.0000,0.0102,0.3893,0.0063,0.0420,-0.0339,0.0741,0.0275,-28.4359,-75.0994,0.6862,0.02117,-3.11970,-0.0055,-0.1314,-0.0577,-0.0068,-0.00846,-0.00090
76,3.0400,0.5370,0.0000,0.0102,0.3969,0.0067,0.0382,-0.0316,-0.0638,-0.0607,-28.4462,-75.0874,0.6859,0.02118,-3.11694,-0.0059,-0.1046,-0.0461,0.0248,-0.00949,-0.00059
77,3.0800,0.5370,0.0000,0.0102,0.4004,-0.0208,0.0475,0.1004,-0.0951,0.0156,-28.4559,-75.0749,0.6859,0.01829,-3.11971,-0.0372,-0.1190,-0.0902,0.0273,-0.01034,0.00115
78,3.1200,0.5370,0.0000,0.0102,0.4057,-0.0038,0.0577,0.0142,-0.2038,0.0613,-28.4657,-75.0620,0.6864,0.01095,-3.12401,0.0036,-0.1368,-0.0582,-0.0012,-0.00832,-0.00027
79,3.1600,0.5370,0.0000,0.0102,0.3820,0.0129,0.0350,-0.0666,0.2390,0.0312,-28.4758,-75.0500,0.6866,0.01402,-3.12281,-0.0222,-0.1199,-0.0773,-0.0361,-0.00311,0.00355
80,3.2000,0.5370,0.0000,0.0102,0.3945,0.0092,0.0337,-0.0518,-0.0356,0.0813,-28.4863,-75.0384,0.6861,0.01714,-3.11817,-0.0162,-0.1260,-0.0666,0.0384,-0.00907,0.00094
81,3.2400,0.5370,0.0000,0.0102,0.3916,0.0076,0.0464,-0.0383,0.0425,-0.0164,-28.4966,-75.0265,0.6859,0.01730,-3.11627,0.0059,-0.1224,-0.0486,-0.0132,-0.00701,0.00193
82,3.2800,0.5370,0.0000,0.0102,0.3968,-0.0094,0.0493,0.0424,-0.0649,0.0467,-28.5066,-75.0143,0.6862,0.01699,-3.11628,-0.0217,-0.1189,-0.0737,0.0236,-0.01020,0.00210
83,3.3200,0.5370,0.0000,0.0102,0.3857,-0.0031,0.0560,0.0125,0.1765,0.0322,-28.5164,-75.0020,0.6865,0.01951,-3.11931,-0.0088,-0.1456,-0.0694,-0.0088,-0.00907,0.00192
84,3.3600,0.5370,0.0000,0.0102,0.3947,0.0078,0.0385,-0.0413,-0.0013,0.0178,-28.5267,-74.9901,0.6865,0.02237,-3.11758,-0.0214,-0.1315,-0.0507,0.0035,-0.01189,-0.00256
85,3.4000,0.5370,0.0000,0.0102,0.3958,-0.0038,0.0411,0.0166,0.0034,0.0077,-28.5369,-74.9781,0.6862,0.02291,-3.11729,-0.0145,-0.1219,-0.0830,0.0131,-0.01173,-0.00054
86,3.4400,0.5370,0.0000,0.0102,0.4056,0.0170,0.0562,-0.0844,-0.1736,-0.0257,-28.5475,-74.9659,0.6864,0.01784,-3.11501,0.0311,-0.1354,-0.0322,-0.0102,-0.01121,-0.00405
87,3.4800,0.5370,0.0000,0.0102,0.3998,-0.0042,0.0408,0.0205,-0.0565,-0.0264,-28.5580,-74.9539,0.6867,0.01497,-3.11307,-0.0228,-0.1180,-0.0961,0.0027,-0.01048,0.00005
88,3.5200,0.5370,0.0000,0.0102,0.3961,-0.0007,0.0454,0.0016,0.0194,-0.0027,-28.5681,-74.9415,0.6866,0.01362,-3.11451,0.0054,-0.1382,-0.0545,-0.0025,-0.00958,0.00074
