step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
79,3.1600,0.7229,0.0000,-0.1093,0.7688,0.0340,-0.5615,-0.1278,-0.0639,-0.1485,-25.5354,-75.2085,0.4027,-0.04865,-0.01733,0.1378,0.0683,-0.5225,0.4210,0.00629,0.02197
80,3.2000,0.7229,0.0000,-0.1093,0.7650,-0.1221,-0.7095,0.5569,-0.2649,-0.3132,-25.5040,-75.2124,0.3761,-0.05267,-0.01292,0.2443,-0.0567,-0.2502,0.1943,0.00528,0.02383
81,3.2400,0.7229,0.0000,-0.1093,0.7498,0.0545,-0.2078,-0.2527,0.2149,-0.1726,-25.4724,-75.2196,0.3554,-0.06319,0.00481,0.2366,-0.3810,-0.0151,-0.1403,0.01716,0.01801
82,3.2800,0.7229,0.0000,-0.1093,0.7464,0.0532,0.0474,-0.2483,0.1992,-0.0916,-25.4426,-75.2179,0.3556,-0.04584,-0.01473,-0.3012,-0.1144,-0.1257,0.0659,0.00924,0.01659
83,3.3200,0.7229,0.0000,-0.1093,0.7716,-0.0467,0.0127,0.2319,-0.2110,-0.0913,-25.4124,-75.2218,0.3563,-0.04857,-0.01125,0.0113,-0.1522,-0.0824,-0.0013,0.00221,0.01744
84,3.3600,0.7229,0.0000,-0.1093,0.7572,-0.0590,-0.0051,0.2920,-0.0623,-0.0429,-25.3825,-75.2276,0.3565,-0.05386,0.00072,-0.0752,-0.0948,-0.0828,0.0640,0.01191,0.01820
85,3.4000,0.7229,0.0000,-0.1093,0.7365,0.0515,-0.0405,-0.2612,0.1566,-0.1458,-25.3527,-75.2311,0.3555,-0.05394,0.00148,0.0160,-0.1088,0.0476,-0.0393,0.02008,0.01323
86,3.4400,0.7229,0.0000,-0.1093,0.7221,0.0111,-0.0338,-0.0581,0.3659,0.0397,-25.3235,-75.2327,0.3540,-0.03859,-0.00626,-0.0950,-0.0750,-0.1372,0.1406,0.01286,0.01479
87,3.4800,0.7229,0.0000,-0.1093,0.7703,0.0322,-0.0779,-0.1972,-0.1764,-0.2714,-25.2936,-75.2357,0.3516,-0.03796,-0.00897,-0.0467,-0.0775,-0.0756,0.0643,0.00421,0.01076
88,3.5200,0.7229,0.0000,-0.1093,0.7697,0.1056,-0.2128,-0.5626,-0.1328,-0.1857,-25.2628,-75.2369,0.3465,-0.04051,-0.02222,-0.0658,0.0080,-0.3642,0.3423,0.00563,0.01800
89,3.5600,0.7229,0.0000,-0.1093,0.7213,0.0473,-0.4942,-0.2281,0.3836,0.1571,-25.2322,-75.2368,0.3302,-0.03721,-0.04072,0.0041,0.2514,-0.4744,0.5367,0.00076,0.02841
90,3.6000,0.7229,0.0000,-0.1093,0.7602,-0.1344,-0.5616,0.6230,-0.1605,-0.2804,-25.2020,-75.2429,0.3090,-0.03849,-0.03470,0.1766,-0.1928,-0.1330,0.0369,-0.01138,0.02458
91,3.6400,0.7229,0.0000,-0.1093,0.7777,-0.0396,-0.2064,0.2053,-0.2760,0.1180,-25.1717,-75.2543,0.2905,-0.04922,-0.00478,0.3238,-0.4447,-0.0670,-0.1330,0.00158,0.01758
92,3.6800,0.7229,0.0000,-0.1093,0.7630,0.0186,0.0299,-0.0939,-0.0945,-0.0517,-25.1417,-75.2573,0.2895,-0.04925,-0.00977,-0.2440,-0.0713,-0.0905,0.0453,0.00894,0.01662
93,3.7200,0.7229,0.0000,-0.1093,0.7566,-0.0388,-0.0068,0.1920,0.0066,-0.0559,-25.1117,-75.2626,0.2897,-0.05109,-0.00500,0.0246,-0.0585,-0.0585,0.0263,0.00924,0.02061
94,3.7600,0.7229,0.0000,-0.1093,0.7359,0.0291,-0.0104,-0.1480,0.2344,-0.1352,-25.0821,-75.2672,0.2893,-0.04761,-0.00357,0.0117,-0.1264,-0.0235,-0.0292,0.01252,0.01754
95,3.8000,0.7229,0.0000,-0.1093,0.7392,0.0146,-0.0028,-0.0762,0.0333,0.0666,-25.0528,-75.2701,0.2891,-0.04056,-0.00962,-0.0278,-0.1097,-0.1374,0.0842,0.00597,0.01587
